Generated,Reference,WuP,GloVe-Similarity,Sensorimotor Distance,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Compilation
Open,Pour,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.9305497786569383,0.2674418555327205,0.1230769182618345,0.2674418555327205,0.9722285866737366,0.94037320646905,56.0,1.0
Pick-Up,Pour,0.25,0.1667963415384292,0.0699600588276674,0.9270131974056619,0.2674418555327205,0.1230769182618345,0.2674418555327205,0.9728104472160342,0.946904316176758,56.0,1.0
Place-Down,Pour,0.25,0.2918168306350708,0.11328961037275101,0.9357022638916753,0.2674418555327205,0.1230769182618345,0.2674418555327205,0.9761596918106081,0.9447172987932836,56.0,1.0
Slice,Pour,0.22222222222222224,0.5407348275184631,0.0772310812987127,0.923968426985972,0.2628571379043266,0.1216729989619629,0.2628571379043266,0.9774206876754759,0.9391020887022897,57.0,1.0
Wipe,Pour,0.25,0.509205162525177,0.0970422225532095,0.9293497315259645,0.2658959488175348,0.12260535916090501,0.2658959488175348,0.974837064743042,0.9405406466706069,57.0,1.0
Close,Slice,0.22222222222222224,0.3808492720127105,0.0887489492764253,0.6929576389907197,0.23076922600673902,0.0964912235149278,0.23076922600673902,0.9483478665351868,0.7490078397032018,44.0,1.0
Halve,Slice,0.1818181818181818,0.3771482110023498,0.0934805650414641,0.7826974126616709,0.2208588908427115,0.0912863023143543,0.2208588908427115,0.9526236057281494,0.8112999432788811,50.0,1.0
Hold,Slice,0.2857142857142857,0.3697307407855987,0.0513302142817702,0.4817136672659822,0.23776223330236199,0.0765550197898402,0.23776223330236199,0.9358100295066831,0.6133050909040717,34.0,1.0
Open,Slice,0.2857142857142857,0.3194121122360229,0.0770675081437801,0.8237915514117453,0.23170731219884014,0.0916666619388891,0.23170731219884014,0.9452335834503174,0.8338097760049459,52.0,1.0
Pick-Up,Slice,0.22222222222222224,0.44728294014930714,0.0743805998594153,0.761290439294977,0.2278480964709182,0.0865800819759752,0.2278480964709182,0.944086492061615,0.7756503043102807,46.0,1.0
Place-Down,Slice,0.22222222222222224,0.4426504373550415,0.135771583124557,0.7808254944799803,0.21951219024762061,0.0912863023143543,0.21951219024762061,0.9473133087158205,0.802576476702107,52.0,1.0
Pour,Slice,0.22222222222222224,0.5407348275184631,0.0772310812987127,0.7388904010290548,0.1916167615619062,0.0813008082146873,0.1916167615619062,0.9359381794929504,0.7556025415051243,54.0,1.0
Wipe,Slice,0.22222222222222224,0.5417711138725281,0.0503783542992758,0.8629687999728203,0.23529411271626302,0.0967741887356922,0.23529411271626302,0.9729293584823608,0.8757184696731135,56.0,1.0
Close,Wipe,0.25,0.3031244874000549,0.1558799708666,0.8515964792176913,0.2931034433293699,0.1499999951757814,0.2931034433293699,0.965112566947937,0.8489626127632889,35.0,1.0
Halve,Wipe,0.2,0.5097622871398926,0.11827822412400799,0.8408137764846938,0.2881355882562482,0.1481481432975157,0.2881355882562482,0.9629596471786501,0.8355326064937101,36.0,1.0
Hold,Wipe,0.3333333333333333,0.43972694873809803,0.0158176034997597,0.5561825999824459,0.22018348139045543,0.0921052584703949,0.22018348139045543,0.9221681952476499,0.5996925204480122,27.0,1.0
Open,Wipe,0.3333333333333333,0.3229246437549591,0.139307387341262,0.7933161976827143,0.2881355882562482,0.1472392589408711,0.2881355882562482,0.9596746563911438,0.8267884291707699,37.0,1.0
Pick-Up,Wipe,0.25,0.2969381213188171,0.0946885101065148,0.7967377478279452,0.2782608646291116,0.1383647750642776,0.2782608646291116,0.9596643447875974,0.8170249421098428,35.0,1.0
Place-Down,Wipe,0.25,0.3212550282478332,0.220155971966159,0.69430871033519,0.23636363149752074,0.0540540494567206,0.23636363149752074,0.9315622448921204,0.7240518159591883,31.0,1.0
Pour,Wipe,0.25,0.509205162525177,0.0970422225532095,0.658172726296913,0.2644628049340892,0.1309523760381238,0.2644628049340892,0.9261547923088074,0.8104077143568498,40.0,1.0
Slice,Wipe,0.22222222222222224,0.5417711138725281,0.0503783542992758,0.6060135986300373,0.222222217223482,0.0701754336582199,0.2063492013504662,0.9445726871490481,0.8176286352944929,47.0,1.0
