Generated,Reference,WuP,GloVe-Similarity,Sensorimotor Distance,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Compilation
Pour,Hold,0.3333333333333333,0.3653004169464111,0.11875767443836001,0.6463675963595484,0.6060606010856036,0.4664536691704518,0.6060606010856036,0.9466536641120913,0.8758688593204298,63.0,0.0
Slice,Hold,0.2857142857142857,0.3697307407855987,0.0513302142817702,0.8721480759863459,0.7362637312643402,0.6474820093895244,0.7362637312643402,0.9740517735481262,0.8654323082549228,51.0,0.0
Wipe,Hold,0.3333333333333333,0.4397270083427429,0.0158176034997597,0.7967774622178282,0.5635359066035837,0.4142857092859694,0.5635359066035837,0.970923840999603,0.7788185264350784,51.0,0.0
Close,Open,0.3333333333333333,0.720828115940094,0.045264758045214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Halve,Open,0.25,0.1374186873435974,0.0827258509852445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hold,Open,0.5,0.739703357219696,0.103886621549432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pick-Up,Open,0.3333333333333333,0.494068443775177,0.0311757950604205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Place-Down,Open,0.3333333333333333,0.8066946268081665,0.123578364246354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pour,Open,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Slice,Open,0.2857142857142857,0.3194121122360229,0.0770675081437801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Wipe,Open,0.3333333333333333,0.3229246735572815,0.139307387341262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Close,Pick-Up,0.25,0.5153879523277283,0.0702866678284649,0.21779099605189303,0.3662479825841027,0.2222222178402778,0.3662479825841027,0.899235165119171,0.3863438220616949,14.4,0.0
Halve,Pick-Up,0.2,0.1682204008102417,0.0710081231639225,0.4684564920417541,0.7096774145421436,0.5952380904676872,0.6774193500260146,0.912728488445282,0.606534177872355,19.0,0.0
Hold,Pick-Up,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.2564836347460724,0.5999999955966943,0.536912747359128,0.5999999955966943,0.9034128785133362,0.4591866965173743,13.0,0.0
Open,Pick-Up,0.3333333333333333,0.494068443775177,0.0311757950604205,0.7874095211003846,0.73239436120611,0.6091370508438766,0.73239436120611,0.9367029070854189,0.8269200521236284,29.0,0.0
Place-Down,Pick-Up,0.25,0.6661379933357239,0.169426303267544,0.959260496802586,0.9333333283342222,0.9029126163596948,0.9333333283342222,0.95306795835495,0.9789889005058633,38.0,0.0
Pour,Pick-Up,0.25,0.1667963415384292,0.0699600588276674,0.6193369243129716,0.6329113874250922,0.43362831363145127,0.6329113874250922,0.9419328570365906,0.8124674543342044,43.0,0.0
Slice,Pick-Up,0.22222222222222224,0.44728294014930714,0.0743805998594153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Wipe,Pick-Up,0.25,0.2969381213188171,0.0946885101065148,0.28742104621344094,0.4110275642908274,0.23408193559709184,0.4110275642908274,0.8956501841545105,0.4270596215991345,15.2,0.0
Close,Place-Down,0.25,0.7576097846031189,0.0519029166068075,0.08577369522306182,0.320556665982485,0.22072479478483986,0.23837716368268555,0.9102043628692625,0.27757023960487065,14.0,0.0
Halve,Place-Down,0.2,0.1131073385477066,0.114183228214588,0.9491262467832338,0.9047618997619049,0.8591549245774648,0.9047618997619049,0.9922847747802734,0.9631509346944991,46.0,0.0
Hold,Place-Down,0.3333333333333333,0.7480592727661133,0.23493731438943302,0.0291166824800173,0.3100775163511808,0.262857139796898,0.3100775163511808,0.8903710842132568,0.2439764829370273,10.0,0.0
Open,Place-Down,0.3333333333333333,0.8066946268081665,0.123578364246354,0.05551140065146772,0.19826163219210416,0.1185276047425862,0.14580261579866158,0.8621392607688904,0.19237652540035852,9.4,0.0
